IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.136.247,2087,TRUE,SIN,Asia Pacific,Singapore,219 ms,5.311523438
8.219.122.55,2096,TRUE,SIN,Asia Pacific,Singapore,228 ms,5.280273438
47.237.84.173,2087,TRUE,SIN,Asia Pacific,Singapore,227 ms,5.276367188
47.236.237.90,2083,TRUE,SIN,Asia Pacific,Singapore,221 ms,5.275390625
8.219.122.55,8443,TRUE,SIN,Asia Pacific,Singapore,231 ms,5.272460938
8.219.111.147,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,5.236328125
47.76.29.115,2087,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,5.229492188
47.237.8.82,2083,TRUE,SIN,Asia Pacific,Singapore,222 ms,5.219726563
8.219.248.47,2087,TRUE,SIN,Asia Pacific,Singapore,219 ms,5.215820313
47.237.8.82,8443,TRUE,SIN,Asia Pacific,Singapore,221 ms,5.1953125
47.237.84.173,2053,TRUE,SIN,Asia Pacific,Singapore,219 ms,5.186523438
8.219.122.55,2053,TRUE,SIN,Asia Pacific,Singapore,235 ms,5.15625
47.237.125.8,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,5.091796875
47.238.40.58,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,5.077148438
47.237.86.185,2083,TRUE,SIN,Asia Pacific,Singapore,216 ms,5.052734375
8.219.83.201,2053,TRUE,SIN,Asia Pacific,Singapore,222 ms,5.044921875
8.219.248.47,8443,TRUE,SIN,Asia Pacific,Singapore,222 ms,5.020507813
47.236.117.48,2096,TRUE,SIN,Asia Pacific,Singapore,215 ms,4.998046875
47.236.253.41,2087,TRUE,SIN,Asia Pacific,Singapore,221 ms,4.993164063
47.237.95.156,2087,TRUE,SIN,Asia Pacific,Singapore,215 ms,4.978515625
47.237.8.82,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,4.930664063
8.210.207.214,2096,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,4.91015625
8.219.83.201,2087,TRUE,SIN,Asia Pacific,Singapore,221 ms,4.90234375
8.222.137.192,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,4.89453125
8.222.208.38,2053,TRUE,SIN,Asia Pacific,Singapore,230 ms,4.836914063
47.236.237.90,8443,TRUE,SIN,Asia Pacific,Singapore,213 ms,4.833007813
8.219.111.175,2053,TRUE,SIN,Asia Pacific,Singapore,239 ms,4.80078125
8.219.111.175,2096,TRUE,SIN,Asia Pacific,Singapore,216 ms,4.771484375
47.236.118.216,2083,TRUE,SIN,Asia Pacific,Singapore,235 ms,4.760742188
8.219.111.147,2087,TRUE,SIN,Asia Pacific,Singapore,221 ms,4.751953125
8.219.177.205,2053,TRUE,SIN,Asia Pacific,Singapore,212 ms,4.743164063
